contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,ticker
SPY260904C00640000,2026-08-10 17:59:53+00:00,640.0,134.91,136.2,138.97,0.0,0.0,1.0,4,0.5230760583496092,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00645000,2026-08-11 15:50:55+00:00,645.0,129.34,131.21,133.98,0.0,0.0,1.0,1,0.5067188000488281,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00650000,2026-08-11 16:34:49+00:00,650.0,123.79,126.32,129.02,0.0,0.0,1.0,2,0.49158223266601564,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00655000,2026-08-10 19:29:21+00:00,655.0,120.45,121.35,124.05,0.0,0.0,3.0,6,0.4760794580078125,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00660000,2026-08-13 15:17:02+00:00,660.0,119.11,116.33,119.08,0.0,0.0,1.0,12,0.46045461425781253,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00665000,2026-08-11 13:30:34+00:00,665.0,111.36,111.37,114.11,0.0,0.0,2.0,15,0.4448908050537109,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00670000,2026-08-14 14:06:52+00:00,670.0,110.48,106.4,109.13,9.230003,9.116053,2.0,11,0.4288387194824219,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00675000,2026-08-14 19:56:23+00:00,675.0,102.9,101.4,104.18,2.2200012,2.205007,1.0,20,0.4138852557373046,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00680000,2026-08-14 16:51:44+00:00,680.0,97.11,96.48,99.22,-0.7799988,-0.7968115,1.0,25,0.398443515625,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00685000,2026-08-13 15:51:28+00:00,685.0,93.07,91.57,94.25,0.0,0.0,3.0,19,0.3825745336914062,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00690000,2026-08-07 17:34:01+00:00,690.0,90.68,86.57,89.31,5.8600006,6.9087486,1.0,60,0.3676821044921875,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00692000,2026-08-07 16:34:48+00:00,692.0,82.49,84.63,87.32,0.0,0.0,1.0,10,0.36121244262695307,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00693000,2026-08-12 14:13:10+00:00,693.0,81.74,83.64,86.33,0.0,0.0,4.0,5,0.35809968078613286,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00695000,2026-08-13 15:53:34+00:00,695.0,83.09,81.66,84.35,0.0,0.0,1.0,11,0.35193519165039056,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00696000,2026-08-13 16:20:41+00:00,696.0,81.91,80.67,83.37,0.0,0.0,1.0,6,0.3491276025390625,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00697000,2026-08-04 14:30:14+00:00,697.0,71.15,79.63,82.38,0.0,0.0,2.0,4,0.3460148406982422,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00698000,2026-08-06 17:45:03+00:00,698.0,73.54,78.64,81.39,0.0,0.0,,8,0.34290207885742185,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00699000,2026-08-04 14:12:21+00:00,699.0,69.44,77.71,80.4,0.0,0.0,,1,0.33978931701660153,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00700000,2026-08-14 19:15:59+00:00,700.0,78.74,77.62,79.4,5.659996,7.7449317,3.0,51,0.33637138244628906,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00701000,2026-08-05 17:27:57+00:00,701.0,74.22,75.68,78.41,0.0,0.0,,24,0.3332586206054688,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00702000,2026-08-13 17:00:29+00:00,702.0,77.25,74.74,77.43,0.0,0.0,4.0,7,0.33045103149414057,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00703000,2026-08-13 17:01:46+00:00,703.0,76.39,73.68,76.45,0.0,0.0,2.0,13,0.32758240783691406,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00704000,2026-08-03 16:57:48+00:00,704.0,57.56,72.76,75.46,0.0,0.0,6.0,6,0.3244086114501953,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00705000,2026-08-13 14:11:39+00:00,705.0,75.82,71.78,74.46,0.0,0.0,1.0,28,0.3209906768798828,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00706000,2026-08-13 15:14:54+00:00,706.0,73.89,70.79,73.48,0.0,0.0,1.0,12,0.3181220532226562,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00707000,2026-08-05 13:56:40+00:00,707.0,72.55,69.76,72.5,0.0,0.0,,11,0.31519239501953117,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00708000,2026-08-04 13:55:00+00:00,708.0,59.78,68.82,71.5,0.0,0.0,102.0,51,0.3117744604492187,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00709000,2026-08-04 18:57:54+00:00,709.0,66.72,67.75,70.53,0.0,0.0,,28,0.30914997497558594,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00710000,2026-08-14 16:16:06+00:00,710.0,69.33,67.26,69.46,3.3700027,5.1091614,6.0,280,0.30368738311767574,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00711000,2026-08-07 13:47:31+00:00,711.0,64.47,65.81,68.56,0.0,0.0,3.0,38,0.30298548583984375,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00712000,2026-08-04 15:52:33+00:00,712.0,61.17,64.88,67.56,0.0,0.0,4.0,14,0.2995065167236328,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00713000,2026-08-07 16:25:47+00:00,713.0,62.46,63.82,66.59,0.0,0.0,2.0,31,0.29682099670410156,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00714000,2026-08-11 19:19:24+00:00,714.0,59.33,62.91,65.6,0.0,0.0,10.0,20,0.29358616577148433,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00715000,2026-08-11 14:22:55+00:00,715.0,61.77,61.93,64.61,0.0,0.0,2.0,71,0.2903513348388671,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00716000,2026-08-12 14:51:07+00:00,716.0,59.3,60.86,63.63,0.0,0.0,1.0,8,0.2873606420898437,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00717000,2026-07-30 14:12:13+00:00,717.0,31.23,59.88,62.66,0.0,0.0,,75,0.284614087524414,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00718000,2026-08-07 16:08:48+00:00,718.0,58.69,58.98,61.68,0.0,0.0,1.0,51,0.28162339477539056,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00719000,2026-08-06 17:21:12+00:00,719.0,53.38,57.92,60.7,0.0,0.0,4.0,5,0.27857166748046874,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00720000,2026-08-14 18:38:18+00:00,720.0,58.11,57.45,59.64,-2.4099998,-3.9821544,1.0,205,0.2735058001708984,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00721000,2026-08-07 19:18:53+00:00,721.0,55.76,56.04,58.73,0.0,0.0,3.0,10,0.2722240747070312,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00722000,2026-08-11 13:49:42+00:00,722.0,54.45,55.06,57.75,0.0,0.0,1.0,26,0.2691723474121094,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00723000,2026-08-13 19:54:08+00:00,723.0,57.31,54.09,56.79,0.0,0.0,22.0,26,0.26654786193847657,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00724000,2026-08-03 19:09:00+00:00,724.0,40.27,53.11,55.81,0.0,0.0,2.0,42,0.2634656173706055,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00725000,2026-08-13 15:50:41+00:00,725.0,53.94,52.13,54.83,0.0,0.0,1.0,77,0.26032233825683593,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00726000,2026-08-14 17:27:34+00:00,726.0,52.75,51.16,53.85,1.4599991,2.846557,1.0,11,0.2572095764160156,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00728000,2026-08-11 17:14:19+00:00,728.0,46.46,49.22,51.92,0.0,0.0,2.0,20,0.2515943981933594,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00729000,2026-08-13 20:04:43+00:00,729.0,52.66,48.66,50.87,0.0,0.0,1.0,125,0.24677266906738282,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00730000,2026-08-14 14:37:46+00:00,730.0,49.87,47.28,49.97,0.45999908,0.9309838,1.0,58,0.2454299090576172,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00731000,2026-08-06 17:47:51+00:00,731.0,42.19,46.26,49.0,0.0,0.0,11.0,46,0.24243921630859372,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00732000,2026-08-14 17:27:34+00:00,732.0,46.93,45.73,47.97,22.43,91.55102,1.0,119,0.23804472900390622,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00733000,2026-08-12 19:41:27+00:00,733.0,43.18,44.82,47.0,0.0,0.0,150.0,160,0.23502351898193358,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00734000,2026-08-06 20:00:47+00:00,734.0,39.95,43.81,46.04,0.0,0.0,200.0,374,0.23218541259765624,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00735000,2026-08-14 18:00:01+00:00,735.0,43.74,42.84,45.08,4.330002,10.987063,2.0,697,0.2293167889404297,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00736000,2026-08-14 18:24:43+00:00,736.0,43.21,41.9,44.12,-2.420002,-5.3035326,7.0,313,0.2264481652832031,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00737000,2026-08-14 14:10:05+00:00,737.0,44.39,40.94,43.17,-0.040000916,-0.09003132,2.0,301,0.22373212799072262,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00738000,2026-08-07 19:02:06+00:00,738.0,38.86,39.99,41.2,0.0,0.0,115.0,223,0.1986469296264648,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00739000,2026-08-11 17:14:19+00:00,739.0,36.89,39.06,40.25,0.0,0.0,2.0,502,0.19617503051757812,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00740000,2026-08-14 13:56:57+00:00,740.0,41.65,38.12,39.3,1.1900024,2.9411826,5.0,1511,0.19370313140869144,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00741000,2026-08-14 18:02:03+00:00,741.0,38.09,37.19,38.35,2.0600014,5.7174616,8.0,532,0.19117019775390626,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00742000,2026-08-14 18:00:01+00:00,742.0,37.07,36.23,37.41,-2.0299988,-5.191813,4.0,915,0.1887898504638672,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00743000,2026-08-14 19:40:53+00:00,743.0,36.45,35.29,36.48,3.5100021,10.655745,10.0,613,0.18659260681152345,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00744000,2026-08-14 18:24:43+00:00,744.0,35.62,34.32,35.53,-3.4099998,-8.73687,1.0,289,0.1839070867919922,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00745000,2026-08-14 18:43:17+00:00,745.0,34.65,33.41,34.6,-1.6299973,-4.492826,5.0,375,0.18158777404785154,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00746000,2026-08-12 18:53:04+00:00,746.0,31.85,32.45,33.67,0.0,0.0,13.0,718,0.1792379440307617,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00747000,2026-08-13 17:11:47+00:00,747.0,33.97,31.54,32.74,0.0,0.0,3.0,489,0.17682707946777343,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00748000,2026-08-14 19:40:10+00:00,748.0,31.37,30.63,31.82,1.4800014,4.951494,4.0,741,0.17453828399658206,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00749000,2026-08-14 13:51:16+00:00,749.0,32.6,30.33,30.85,0.41999817,1.3051528,1.0,798,0.1712119012451172,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00750000,2026-08-14 17:42:48+00:00,750.0,29.48,28.34,30.39,-2.0300007,-6.442401,6.0,1122,0.17737639038085937,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00751000,2026-08-14 17:03:45+00:00,751.0,28.83,27.47,30.18,-2.1499996,-6.9399605,198.0,336,0.1873250213623047,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00752000,2026-08-14 15:37:18+00:00,752.0,28.3,26.53,29.28,-2.1400013,-7.030227,3.0,345,0.1848226049804687,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00753000,2026-08-14 13:43:06+00:00,753.0,29.34,25.67,28.39,-0.13999939,-0.47489616,2.0,192,0.18244225769042968,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00754000,2026-08-13 19:48:09+00:00,754.0,28.31,24.79,27.5,0.0,0.0,198.0,292,0.17993984130859375,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00755000,2026-08-14 19:33:37+00:00,755.0,25.54,24.38,26.54,-1.7599983,-6.4468803,11.0,640,0.1762472512817383,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00756000,2026-08-14 19:54:40+00:00,756.0,24.66,24.21,24.4,-1.8099995,-6.837928,1188.0,8689,0.15287102020263676,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00757000,2026-08-14 20:00:51+00:00,757.0,23.59,22.13,24.8,-2.119999,-8.245815,250.0,302,0.1715781085205078,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00758000,2026-08-14 19:08:58+00:00,758.0,22.89,22.18,23.94,-1.2900009,-5.3349915,257.0,461,0.16928931304931644,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00759000,2026-08-14 14:42:09+00:00,759.0,23.17,20.45,23.09,0.29000092,1.2674866,3.0,785,0.16703103485107423,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00760000,2026-08-14 19:53:09+00:00,760.0,21.26,19.57,22.02,-1.5699997,-6.876915,31.0,1203,0.1613243048095703,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00761000,2026-08-14 18:02:03+00:00,761.0,20.12,18.86,21.42,-3.0599995,-13.201033,224.0,405,0.16272809936523439,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00762000,2026-08-14 20:01:33+00:00,762.0,19.47,18.06,20.6,-2.880001,-12.885911,212.0,379,0.1606224075317383,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00763000,2026-08-14 19:42:36+00:00,763.0,18.72,18.34,18.53,-1.2900009,-6.446781,76.0,8185,0.13984014465332031,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00764000,2026-08-14 17:55:43+00:00,764.0,17.43,16.31,18.98,-1.6599998,-8.695651,19.0,717,0.1563652479553223,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00765000,2026-08-14 20:04:09+00:00,765.0,17.17,16.24,18.2,-1.8600006,-9.774044,49.0,614,0.15448843566894532,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00766000,2026-08-14 19:58:45+00:00,766.0,16.2,14.77,17.42,-1.3999996,-7.9545436,231.0,444,0.1524742956542969,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00767000,2026-08-14 15:51:20+00:00,767.0,15.87,14.01,16.67,-1.7400007,-9.8807535,4.0,385,0.15076532836914067,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00768000,2026-08-14 19:29:13+00:00,768.0,14.93,13.34,15.85,-2.0299988,-11.969333,3.0,339,0.1479272219848633,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00769000,2026-08-14 20:04:09+00:00,769.0,14.37,12.6,15.11,-2.000001,-12.217476,83.0,318,0.1460351510620117,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00770000,2026-08-14 20:08:25+00:00,770.0,13.1,12.74,13.55,-2.0899992,-13.7590475,124.0,1352,0.13286694778442382,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00771000,2026-08-14 19:57:25+00:00,771.0,12.61,12.05,12.87,-1.8400002,-12.733565,95.0,1258,0.13158522232055664,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00772000,2026-08-14 19:57:25+00:00,772.0,11.91,11.34,11.98,-2.0900002,-14.928573,57.0,788,0.12729754547119143,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00773000,2026-08-14 19:07:00+00:00,773.0,11.18,11.03,11.52,-1.7999992,-13.867483,31.0,335,0.12859452957153317,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00774000,2026-08-14 20:14:52+00:00,774.0,10.49,10.07,10.86,-1.7200003,-14.086817,70.0,1384,0.12700763137817384,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00775000,2026-08-14 20:10:42+00:00,775.0,9.82,9.77,10.16,-1.9500008,-16.56755,279.0,1038,0.12468831863403321,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00776000,2026-08-14 20:10:04+00:00,776.0,9.22,9.15,9.25,-1.8800001,-16.936937,273.0,698,0.11939357177734375,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00777000,2026-08-14 20:14:33+00:00,777.0,8.65,8.57,8.66,-1.7200003,-16.58631,429.0,1049,0.11811184631347656,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00778000,2026-08-14 19:56:27+00:00,778.0,8.2,8.0,8.1,-1.7399998,-17.505028,380.0,768,0.11696744857788086,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00779000,2026-08-14 20:14:44+00:00,779.0,7.58,7.46,7.55,-1.7799997,-19.017092,461.0,316,0.1157314990234375,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00780000,2026-08-14 19:59:56+00:00,780.0,7.27,6.96,7.03,-1.4699998,-16.819221,458.0,1298,0.11463287719726564,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00781000,2026-08-14 20:11:50+00:00,781.0,6.48,6.44,6.54,-1.6200004,-20.000002,273.0,481,0.11368684173583984,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00782000,2026-08-14 19:56:42+00:00,782.0,6.11,5.97,6.06,-1.5999999,-20.752268,86.0,573,0.11261873718261718,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00783000,2026-08-14 20:08:43+00:00,783.0,5.55,5.52,5.61,-1.9199996,-25.702806,151.0,417,0.1116727017211914,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00784000,2026-08-14 19:54:43+00:00,784.0,5.34,5.09,5.18,-1.06,-16.562498,70.0,469,0.11075718353271484,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00785000,2026-08-14 19:59:06+00:00,785.0,4.78,4.7,4.77,-1.4399996,-23.15112,570.0,1697,0.10984166534423828,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00786000,2026-08-14 19:40:52+00:00,786.0,4.52,4.3,4.38,-1.6999998,-27.331188,167.0,409,0.10892614715576171,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00787000,2026-08-14 19:45:16+00:00,787.0,4.13,3.94,4.02,-1.29,-23.800737,236.0,1345,0.10816321533203124,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00788000,2026-08-14 19:43:05+00:00,788.0,3.79,3.6,3.68,-1.19,-23.895584,116.0,1038,0.10740028350830078,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00789000,2026-08-14 19:43:06+00:00,789.0,3.45,3.29,3.34,-0.9399998,-21.412298,125.0,973,0.10636269622802735,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00790000,2026-08-14 20:10:04+00:00,790.0,3.02,3.0,3.04,-1.23,-28.941177,268.0,1811,0.10563028167724609,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00791000,2026-08-14 19:47:54+00:00,791.0,2.81,2.72,2.76,-1.1200001,-28.498732,83.0,575,0.10492838439941406,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00792000,2026-08-14 19:54:22+00:00,792.0,2.59,2.46,2.5,-0.97,-27.247192,84.0,613,0.10428752166748045,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00793000,2026-08-14 20:05:06+00:00,793.0,2.27,2.22,2.27,-1.0,-30.58104,49.0,865,0.1038602798461914,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00794000,2026-08-14 20:12:51+00:00,794.0,2.03,2.02,2.04,-1.01,-33.223686,180.0,825,0.10312786529541014,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00795000,2026-08-14 20:07:40+00:00,795.0,1.84,1.81,1.84,-0.92999995,-33.574005,228.0,2847,0.10267010620117187,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00796000,2026-08-14 20:12:32+00:00,796.0,1.65,1.63,1.66,-1.08,-39.560444,199.0,884,0.10230389892578123,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00797000,2026-08-14 19:43:05+00:00,797.0,1.55,1.46,1.49,-0.77,-33.189655,63.0,514,0.10187665710449219,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00798000,2026-08-14 19:00:18+00:00,798.0,1.4,1.31,1.34,-0.7500001,-34.883728,17.0,486,0.10163251892089843,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00799000,2026-08-14 19:58:48+00:00,799.0,1.21,1.17,1.2,-0.8499999,-41.262135,36.0,622,0.10129682891845701,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00800000,2026-08-14 20:13:00+00:00,800.0,1.06,1.05,1.07,-0.71000004,-40.112995,1460.0,1973,0.10090010437011719,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00801000,2026-08-14 20:00:39+00:00,801.0,0.96,0.94,0.96,-0.67,-41.104294,34.0,782,0.10077803527832031,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00802000,2026-08-14 20:07:01+00:00,802.0,0.86,0.84,0.86,-0.68999994,-44.516125,41.0,473,0.10071700073242187,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00803000,2026-08-14 19:44:15+00:00,803.0,0.78,0.75,0.77,-0.48000002,-38.095238,54.0,826,0.10065596618652344,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00804000,2026-08-14 19:43:06+00:00,804.0,0.69,0.67,0.69,-0.48999995,-41.52542,33.0,530,0.10065596618652344,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00805000,2026-08-14 20:05:02+00:00,805.0,0.62,0.6,0.62,-0.46000004,-42.592594,273.0,1502,0.10077803527832031,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00806000,2026-08-14 19:43:06+00:00,806.0,0.55,0.54,0.55,-0.42000002,-43.29897,67.0,570,0.100594931640625,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00807000,2026-08-14 19:48:26+00:00,807.0,0.49,0.48,0.5,-0.43,-46.73913,60.0,232,0.1010832080078125,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00808000,2026-08-14 18:28:20+00:00,808.0,0.45,0.43,0.45,-0.32,-41.55844,428.0,294,0.10132734619140624,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00809000,2026-08-14 19:06:15+00:00,809.0,0.4,0.39,0.4,-0.29999998,-42.85714,93.0,213,0.10132734619140624,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00810000,2026-08-14 19:59:31+00:00,810.0,0.37,0.35,0.36,-0.31,-45.588234,450.0,658,0.10157148437499999,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00811000,2026-08-14 15:14:26+00:00,811.0,0.4,0.32,0.33,-0.20000002,-33.333336,24.0,331,0.10218182983398436,False,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00812000,2026-08-14 17:02:27+00:00,812.0,0.3,0.29,0.3,-0.16999999,-36.170208,572.0,384,0.10267010620117187,False,REGULAR,USD,call,2026-09-04,SPY
